# 20250602_134206
alpha,Re@phiIm@phi,Re@DphiIm@Dphi
1.078640.1,0,0,0
1.080220.1,0,0,0
1.081790.1,0,0,0
1.083360.1,0,0,0
1.084930.1,0,0,0
1.086510.1,0,0,0
1.088080.1,0,0,0
1.089650.1,0,0,0
1.091220.1,0,0,0
1.09280.1,0,0,0
1.094370.1,0,0,0
1.095940.1,0,0,0
1.097510.1,0,0,0
1.099090.1,0,0,0
1.100660.1,0,0,0
1.102230.1,0,0,0
1.10380.1,0,0,0
1.105380.1,0,0,0
1.106950.1,0,0,0
1.108520.1,0,0,0
1.110090.1,0,0,0
1.111660.1,0,0,0
1.113240.1,0,0,0
1.114810.1,0,0,0
1.116380.1,0,0,0
1.117950.1,0,0,0
1.119530.1,0,0,0
1.12110.1,0,0,0
1.122670.1,0,0,0
1.124240.1,0,0,0
1.125820.1,0,0,0
1.127390.1,0,0,0
1.128960.1,0,0,0
1.130530.1,0,0,0
1.132110.1,0,0,0
1.133680.1,0,0,0
1.135250.1,0,0,0
1.136820.1,0,0,0
1.138390.1,0,0,0
1.139970.1,0,0,0
1.141540.1,0,0,0
1.143110.1,0,0,0
1.144680.1,0,0,0
1.146260.1,0,0,0
1.147830.1,0,0,0
1.14940.1,0,0,0
1.150970.1,0,0,0
1.152550.1,0,0,0
1.154120.1,0,0,0
1.155690.1,0,0,0
1.157260.1,0,0,0
1.158840.1,0,0,0
1.160410.1,0,0,0
1.161980.1,0,0,0
1.163550.1,0,0,0
1.165130.1,0,0,0
1.16670.1,0,0,0
1.168270.1,0,0,0
1.169840.1,0,0,0
1.171410.1,0,0,0
1.172990.1,0,0,0
1.174560.1,0,0,0
1.176130.1,0,0,0
1.17770.1,0,0,0
1.179280.1,0,0,0
1.180850.1,0,0,0
1.182420.1,0,0,0
1.183990.1,0,0,0
1.185570.1,0,0,0
1.187140.1,0,0,0
1.188710.1,0,0,0
1.190280.1,0,0,0
1.191860.1,0,0,0
1.193430.1,0,0,0
1.1950.1,0,0,0
1.196570.1,0,0,0
1.198140.1,0,0,0
1.199720.1,0,0,0
1.201290.1,0,0,0
1.202860.1,0,0,0
1.204430.1,0,0,0
1.206010.1,0,0,0
1.207580.1,0,0,0
1.209150.1,0,0,0
1.210720.1,0,0,0
1.21230.1,0,0,0
1.213870.1,0,0,0
1.215440.1,0,0,0
1.217010.1,0,0,0
1.218590.1,0,0,0
1.220160.1,0,0,0
1.221730.1,0,0,0
1.22330.1,0,0,0
1.224880.1,0,0,0
1.226450.1,0,0,0
1.228020.1,0,0,0
1.229590.1,0,0,0
1.231160.1,0,0,0
1.232740.1,0,0,0
1.234310.1,0,0,0
1.235880.1,0,0,0
1.237450.1,0,0,0
1.239030.1,0,0,0
1.24060.1,0,0,0
1.242170.1,0,0,0
1.243740.1,0,0,0
1.245320.1,0,0,0
1.246890.1,0,0,0
1.248460.1,0,0,0
1.250030.1,0,0,0
1.251610.1,0,0,0
1.253180.1,0,0,0
1.254750.1,0,0,0
1.256320.1,0,0,0
1.257890.1,0,0,0
1.259470.1,0,0,0
1.261040.1,0,0,0
1.262610.1,0,0,0
1.264180.1,0,0,0
1.265760.1,0,0,0
1.267330.1,0,0,0
1.26890.1,0,0,0
1.270470.1,0,0,0
1.272050.1,0,0,0
1.273620.1,0,0,0
1.275190.1,0,0,0
1.276760.1,0,0,0
1.278340.1,0,0,0
1.279910.1,0,0,0
1.281480.1,0,0,0
1.283050.1,0,0,0
1.284630.1,0,0,0
1.28620.1,0,0,0
1.287770.1,0,0,0
1.289340.1,0,0,0
1.290910.1,0,0,0
1.292490.1,0,0,0
1.294060.1,0,0,0
1.295630.1,0,0,0
1.29720.1,0,0,0
1.298780.1,0,0,0
1.300350.1,0,0,0
1.301920.1,0,0,0
1.303490.1,0,0,0
1.305070.1,0,0,0
1.306640.1,0,0,0
1.308210.1,0,0,0
1.309780.1,0,0,0
1.311360.1,0,0,0
1.312930.1,0,0,0
1.31450.1,0,0,0
1.316070.1,0,0,0
1.317640.1,0,0,0
1.319220.1,0,0,0
1.320790.1,0,0,0
1.322360.1,0,0,0
1.323930.1,0,0,0
1.325510.1,0,0,0
1.327080.1,0,0,0
1.328650.1,0,0,0
1.330220.1,0,0,0
1.33180.1,0,0,0
1.333370.1,0,0,0
1.334940.1,0,0,0
1.336510.1,0,0,0
1.338090.1,0,0,0
1.339660.1,0,0,0
1.341230.1,0,0,0
1.34280.1,0,0,0
1.344380.1,0,0,0
1.345950.1,0,0,0
1.347520.1,0,0,0
1.349090.1,0,0,0
1.350660.1,0,0,0
1.352240.1,0,0,0
1.353810.1,0,0,0
1.355380.1,0,0,0
1.356950.1,0,0,0
1.358530.1,0,0,0
1.36010.1,0,0,0
1.361670.1,0,0,0
1.363240.1,0,0,0
1.364820.1,0,0,0
1.366390.1,0,0,0
1.367960.1,0,0,0
1.369530.1,0,0,0
1.371110.1,0,0,0
1.372680.1,0,0,0
1.374250.1,0,0,0
1.375820.1,0,0,0
1.377390.1,0,0,0
1.378970.1,0,0,0
1.380540.1,0,0,0
1.382110.1,0,0,0
1.383680.1,0,0,0
1.385260.1,0,0,0
1.386830.1,0,0,0
1.38840.1,0,0,0
1.389970.1,0,0,0
1.391550.1,0,0,0
1.393120.1,0,0,0
1.394690.1,0,0,0
1.396260.1,0,0,0
1.397840.1,0,0,0
1.399410.1,0,0,0
1.400980.1,0,0,0
1.402550.1,0,0,0
1.404130.1,0,0,0
1.40570.1,0,0,0
1.407270.1,0,0,0
1.408840.1,0,0,0
1.410410.1,0,0,0
1.411990.1,0,0,0
1.413560.1,0,0,0
1.415130.1,0,0,0
1.41670.1,0,0,0
1.418280.1,0,0,0
1.419850.1,0,0,0
1.421420.1,0,0,0
1.422990.1,0,0,0
1.424570.1,0,0,0
1.426140.1,0,0,0
1.427710.1,0,0,0
1.429280.1,0,0,0
1.430860.1,0,0,0
1.432430.1,0,0,0
1.4340.1,0,0,0
1.435570.1,0,0,0
1.437140.1,0,0,0
1.438720.1,0,0,0
1.440290.1,0,0,0
1.441860.1,0,0,0
1.443430.1,0,0,0
1.445010.1,0,0,0
1.446580.1,0,0,0
1.448150.1,0,0,0
1.449720.1,0,0,0
1.45130.1,0,0,0
1.452870.1,0,0,0
1.454440.1,0,0,0
1.456010.1,0,0,0
1.457590.1,0,0,0
1.459160.1,0,0,0
1.460730.1,0,0,0
1.46230.1,0,0,0
1.463880.1,0,0,0
1.465450.1,0,0,0
1.467020.1,0,0,0
1.468590.1,0,0,0
1.470160.1,0,0,0
1.471740.1,0,0,0
1.473310.1,0,0,0
1.474880.1,0,0,0
1.476450.1,0,0,0
1.478030.1,0,0,0
1.47960.1,0,0,0
1.481170.1,0,0,0
1.482740.1,0,0,0
1.484320.1,0,0,0
1.485890.1,0,0,0
1.487460.1,0,0,0
1.489030.1,0,0,0
1.490610.1,0,0,0
1.492180.1,0,0,0
1.493750.1,0,0,0
1.495320.1,0,0,0
1.496890.1,0,0,0
1.498470.1,0,0,0
1.500040.1,0,0,0
1.501610.1,0,0,0
1.503180.1,0,0,0
1.504760.1,0,0,0
1.506330.1,0,0,0
1.50790.1,0,0,0
1.509470.1,0,0,0
1.511050.1,0,0,0
1.512620.1,0,0,0
1.514190.1,0,0,0
1.515760.1,0,0,0
1.517340.1,0,0,0
1.518910.1,0,0,0
1.520480.1,0,0,0
1.522050.1,0,0,0
1.523630.1,0,0,0
1.52520.1,0,0,0
1.526770.1,0,0,0
1.528340.1,0,0,0
1.529910.1,0,0,0
1.531490.1,0,0,0
1.533060.1,0,0,0
1.534630.1,0,0,0
1.53620.1,0,0,0
1.537780.1,0,0,0
1.539350.1,0,0,0
1.540920.1,0,0,0
1.542490.1,0,0,0
1.544070.1,0,0,0
1.545640.1,0,0,0
1.547210.1,0,0,0
1.548780.1,0,0,0
1.550360.1,0,0,0
1.551930.1,0,0,0
1.55350.1,0,0,0
1.555070.1,0,0,0
1.556650.1,0,0,0
1.558220.1,0,0,0
1.559790.1,0,0,0
1.561360.1,0,0,0
1.562930.1,0,0,0
1.564510.1,0,0,0
1.566080.1,0,0,0
1.567650.1,0,0,0
1.569220.1,0,0,0
1.57080.1,0,0,0
